Passenger_ID,Survive,Honorific,First Name,Last Name,Unmarried Name,Gender,Age,Siblings/Spouses On Board,Parents/Kids On Board,Boarding_ID,Class,Ticket Number,Fare,Cabins,Embarked From
21964,False,Mr,Owen,Braund,NULL,male,22.0,1,0,16223,3,521171,7.25,NULL,Southampton
21965,True,Mrs,John,Cumings,Florence Briggs Thayer,female,38.0,1,0,16224,1,17599,71.28,C85,Cherbourg
21966,True,Miss,Laina,Heikkinen,NULL,female,26.0,0,0,16225,3,23101282,7.92,NULL,Southampton
21967,True,Mrs,Jacques,Futrelle,Lily May Peel,female,35.0,1,0,16226,1,113803,53.1,C123,Southampton
21968,False,Mr,William,Allen,NULL,male,35.0,0,0,16227,3,373450,8.05,NULL,Southampton
21969,False,Mr,James,Moran,NULL,male,NULL,0,0,16228,3,330877,8.46,NULL,Queenstown
21970,False,Mr,Timothy,McCarthy,NULL,male,54.0,0,0,16229,1,17463,51.86,E46,Southampton
21971,False,Master,Gosta,Palsson,NULL,male,2.0,3,1,16230,3,349909,21.08,NULL,Southampton
21972,True,Mrs,Oscar,Johnson,Elisabeth Vilhelmina Berg,female,27.0,0,2,16231,3,347742,11.13,NULL,Southampton
21973,True,Mrs,Nicholas,Nasser,Adele Achem,female,14.0,1,0,16232,2,237736,30.07,NULL,Cherbourg
21974,True,Miss,Marguerite,Sandstrom,NULL,female,4.0,1,1,16233,3,9549,16.7,G6,Southampton
21975,True,Miss,Elizabeth,Bonnell,NULL,female,58.0,0,0,16234,1,113783,26.55,C103,Southampton
21976,False,Mr,William,Saundercock,NULL,male,20.0,0,0,16235,3,52151,8.05,NULL,Southampton
21977,False,Mr,Anders,Andersson,NULL,male,39.0,1,5,16236,3,347082,31.28,NULL,Southampton
21978,False,Miss,Hulda,Vestrom,NULL,female,14.0,0,0,16237,3,350406,7.85,NULL,Southampton
21979,True,Mrs,Mary,Hewlett,Mary D Kingcome,female,55.0,0,0,16238,2,248706,16.0,NULL,Southampton
21980,False,Master,Eugene,Rice,NULL,male,2.0,4,1,16239,3,382652,29.12,NULL,Queenstown
21981,True,Mr,Charles,Williams,NULL,male,NULL,0,0,16240,2,244373,13.0,NULL,Southampton
21982,False,Mrs,Julius,Vander Planke,Emelia Maria Vandemoortele,female,31.0,1,0,16241,3,345763,18.0,NULL,Southampton
21983,True,Mrs,Fatima,Masselmani,NULL,female,NULL,0,0,16242,3,2649,7.22,NULL,Cherbourg
21984,False,Mr,Joseph,Fynney,NULL,male,35.0,0,0,16243,2,239865,26.0,NULL,Southampton
21985,True,Mr,Lawrence,Beesley,NULL,male,34.0,0,0,16244,2,248698,13.0,D56,Southampton
21986,True,Miss,Anna,McGowan,NULL,female,15.0,0,0,16245,3,330923,8.03,NULL,Queenstown
21987,True,Mr,William,Sloper,NULL,male,28.0,0,0,16246,1,113788,35.5,A6,Southampton
21988,False,Miss,Torborg,Palsson,NULL,female,8.0,3,1,16230,3,349909,21.08,NULL,Southampton
21989,True,Mrs,Carl,Asplund,Selma Augusta Emilia Johansson,female,38.0,1,5,16247,3,347077,31.39,NULL,Southampton
21990,False,Mr,Farred,Emir,NULL,male,NULL,0,0,16248,3,2631,7.22,NULL,Cherbourg
21991,False,Mr,Charles,Fortune,NULL,male,19.0,3,2,16249,1,19950,263.0,C23 C25 C27,Southampton
21992,True,Miss,Ellen,O'Dwyer,NULL,female,NULL,0,0,16250,3,330959,7.88,NULL,Queenstown
21993,False,Mr,Lalio,Todoroff,NULL,male,NULL,0,0,16251,3,349216,7.9,NULL,Southampton
